9.9	10	4.397940009	kidney
10	10	4.494154594	kidney
10.1	10	4.631443769	kidney
9.9	10	NA	kidney
10.9	11	NA	WBC
11	11	NA	WBC
11.1	11	NA	WBC
10.9	11	NA	WBC
11	11	NA	WBC
11.1	11	NA	WBC
10.9	11	NA	WBC
11	11	NA	WBC
11.1	11	2.552668216	WBC
10.9	11	2.552668216	WBC
11	11	2.552668216	WBC
11.1	11	2.552668216	WBC
10.9	11	2.984977126	WBC
11	11	3.068185862	WBC
11.1	11	3.10720997	WBC
10.9	11	3.193124598	WBC
11	11	3.365487985	WBC
11.1	11	3.46834733	WBC
10.9	11	3.755874856	WBC
