CollarID	Latitude	Longitude
15438	-19.781372	22.411547
15438	-19.781022	22.4105225
15438	-19.7707952	22.3757915
15438	-19.7690216	22.4143853
15438	-19.7689266	22.4143105
15438	-19.7653379	22.3862501
15438	-19.7630039	22.4084517
15438	-19.7627933	22.3890169
15438	-19.7627745	22.3892234
15438	-19.7627598	22.3892058
15438	-19.7627418	22.3891851
15438	-19.7627351	22.3891352
15438	-19.7627317	22.3891321
15438	-19.7627258	22.3895566
15438	-19.7626894	22.389596
15438	-19.7626435	22.3894362
15438	-19.7626245	22.4053464
15438	-19.7624679	22.3894071
15438	-19.7624372	22.389432
15438	-19.7623425	22.4039276
15438	-19.7623142	22.4039349
15438	-19.7623132	22.4038923
15438	-19.7620953	22.4032966
15438	-19.7620614	22.4032747
15438	-19.7619651	22.4029094
15438	-19.7618864	22.403391
15438	-19.7618849	22.4021507
15438	-19.7618198	22.401307
15438	-19.7618161	22.4013848
15438	-19.7618147	22.4014668
15438	-19.7618104	22.4013993
15438	-19.7618104	22.4013993
15438	-19.7618071	22.4013744
15438	-19.7618047	22.4013921
15438	-19.7618047	22.4013921
15438	-19.761804	22.4012686
15438	-19.7618	22.4014492
15438	-19.7617971	22.4013215
15438	-19.7617967	22.4014242
15438	-19.7617934	22.4013993
15438	-19.7617915	22.4012924
15438	-19.7617877	22.4013921
15438	-19.7617877	22.4013921
15438	-19.7617868	22.4013495
15438	-19.7617862	22.4011824
15438	-19.7617854	22.4014097
15438	-19.7617846	22.401308
15438	-19.7617822	22.4013412
15438	-19.7617811	22.4013422
15438	-19.7617783	22.4011773
15438	-19.7617734	22.4012717
15438	-19.7617663	22.4016972
15438	-19.7617641	22.4013422
15438	-19.7617634	22.4012188
15438	-19.7617564	22.4012717
15438	-19.7617485	22.4012602
15438	-19.7617474	22.4012395
15438	-19.7617451	22.4012571
15438	-19.7617451	22.4012571
15438	-19.7617451	22.4012571
15438	-19.7617431	22.4011938
15438	-19.7617418	22.4012322
15438	-19.7617384	22.4012291
15438	-19.7617384	22.4012291
15438	-19.7617362	22.4012249
15438	-19.7617361	22.4012468
15438	-19.7617344	22.4017605
15438	-19.7617338	22.4012426
15438	-19.7617328	22.4012218
15438	-19.7617328	22.4012218
15438	-19.7617258	22.4012748
15438	-19.761723	22.4017678
15438	-19.7617208	22.4017636
15438	-19.7617117	22.4017532
15438	-19.7612999	22.3906006
15438	-19.7609031	22.3899291
15438	-19.7608545	22.3898896
15438	-19.7608313	22.390066
15438	-19.7607864	22.3899332
15438	-19.7607683	22.389928
15438	-19.7607445	22.3899218
15438	-19.7607037	22.3899093
15438	-19.7604724	22.3892576
15438	-19.760453	22.3896478
15438	-19.7601498	22.3898128
15438	-19.7601046	22.3897827
