taxon	Percent	nloci	f1loci	f2loci	nsites	npoly	poly
AF-0443ac	sub90	24034	229	139	12211	53	0.0043403
AF-0443ab	sub90	88991	32699	29462	2584992	3908	0.0015118
AF-0443aa	sub90	174391	46920	43553	3823037	5385	0.0014086
AF-0443full	full90	194113	109893	103630	9107562	14899	0.0016359
AF-0443ac	sub96	30572	307	252	22053	87	0.003945
AF-0443ab	sub96	280322	46838	44881	3940069	5076	0.0012883
AF-0443aa	sub96	243057	47731	46287	4065068	5282	0.0012994
AF-0443full	full96	342802	117969	115259	10130840	15018	0.0014824
