taxon	Percent	nloci	f1loci	f2loci	nsites	npoly	poly
AF-0538ac	sub90	31000	4407	3523	308581	617	0.0019995
AF-0538aa	sub90	212073	55705	52196	4583240	6617	0.0014437
AF-0538ab	sub90	213787	55853	51572	4527946	6647	0.001468
AF-0538full	full90	264273	125891	119038	10465415	17948	0.001715
AF-0538ac	sub96	243354	11891	10781	945483	1697	0.0017948
AF-0538ab	sub96	303129	55762	54046	4746863	6095	0.001284
AF-0538aa	sub96	281883	56405	55000	4831418	6408	0.0013263
AF-0538full	full96	442006	137091	134153	11794854	18279	0.0015497
