taxon	Percent	nloci	f1loci	f2loci	nsites	npoly	poly
AF-0601ag	sub90	203912	56270	49538	4346112	8457	0.0019459
AF-0601ad	sub90	201143	58705	54179	4756101	9082	0.0019095
AF-0601ae	sub90	203042	59032	53325	4680634	9006	0.0019241
AF-0601ab	sub90	198931	58982	55150	4842412	8959	0.0018501
AF-0601af	sub90	200640	58958	54616	4794939	8917	0.0018597
AF-0601aa	sub90	198874	58914	55108	4838905	9015	0.001863
AF-0601ac	sub90	199742	58900	55016	4830731	9044	0.0018722
AF-0601full	90	320606	173430	164085	14436884	31898	0.0022095
